BabyID,Age,Bacterial_richness
238,4M,58
624,M,166
527,4M,39
240,B,9
276,4M,108
565,M,187
82,4M,134
181,12M,131
82,12M,145
128,B,55
265,M,172
201,12M,106
387,4M,135
345,12M,120
338,12M,148
570,12M,128
503,B,65
577,B,32
341,4M,72
507,12M,159
203,4M,67
549,4M,53
229,M,253
589,B,59
181,4M,114
527,B,18
229,4M,105
387,B,56
184,4M,112
624,4M,45
332,12M,132
1,12M,103
150,M,238
224,12M,103
546,B,23
549,B,31
585,B,72
224,4M,64
103,B,71
258,M,185
150,4M,57
587,M,202
53,B,47
572,4M,102
224,M,188
377,4M,72
53,M,169
624,12M,121
507,4M,102
244,B,55
385,B,49
608,4M,68
70,12M,169
42,B,63
343,12M,91
78,B,76
511,B,96
137,B,61
82,B,77
546,4M,84
536,4M,110
587,4M,78
265,B,115
585,4M,72
276,B,70
9,B,31
201,B,79
635,M,194
263,4M,95
1,4M,73
377,M,286
258,4M,51
53,4M,88
275,12M,116
615,12M,155
128,12M,198
615,B,54
637,B,57
179,M,193
244,M,192
179,12M,128
268,B,83
9,4M,106
53,12M,119
263,B,61
570,4M,70
582,12M,121
201,M,185
521,M,211
150,B,15
599,12M,171
203,M,150
137,4M,107
570,M,158
184,B,58
536,12M,128
195,4M,93
532,B,65
345,B,76
268,12M,157
150,12M,89
1,M,192
157,12M,115
157,4M,68
387,M,192
397,12M,152
345,M,189
195,B,46
626,4M,97
546,M,103
341,B,76
640,12M,146
608,M,158
560,M,194
591,M,200
350,12M,124
570,B,46
335,12M,89
503,12M,144
180,4M,48
589,12M,160
180,12M,82
179,B,34
341,12M,116
9,M,173
626,B,36
181,B,41
565,B,82
42,12M,166
265,12M,95
572,B,65
622,M,197
12,12M,87
238,12M,70
224,B,46
507,B,51
507,M,236
70,M,179
350,4M,71
591,4M,67
45,12M,132
587,12M,154
172,12M,138
567,M,149
637,M,176
157,M,173
172,B,75
240,M,92
385,12M,192
532,12M,123
521,4M,90
637,12M,177
577,M,212
591,B,57
256,4M,70
350,B,70
203,B,43
503,M,196
635,12M,132
78,M,263
536,B,66
258,12M,116
335,B,47
238,M,176
590,4M,125
105,B,23
567,12M,99
268,4M,88
201,4M,80
7,12M,94
585,M,208
1,B,66
599,4M,77
240,4M,50
244,12M,176
622,4M,92
608,12M,95
105,12M,107
503,4M,105
240,12M,98
335,M,185
338,M,220
589,M,207
397,M,209
275,B,52
78,12M,162
258,B,29
546,12M,154
335,4M,58
626,12M,125
133,M,196
511,M,212
565,4M,74
103,12M,139
184,12M,181
560,4M,64
70,B,46
590,B,83
377,B,39
635,B,44
12,B,49
281,4M,103
7,B,39
332,B,75
12,4M,56
567,4M,99
387,12M,107
238,B,11
343,M,212
397,B,73
527,M,179
281,M,227
256,M,165
377,12M,130
256,B,54
42,4M,105
511,12M,120
582,M,188
275,4M,48
195,12M,151
229,12M,148
532,M,105
9,12M,131
256,12M,135
582,4M,57
282,12M,87
549,12M,126
591,12M,117
565,12M,116
203,12M,86
103,4M,52
12,M,161
70,4M,98
244,4M,81
128,M,241
172,4M,77
137,M,246
608,B,51
527,12M,140
78,4M,107
338,B,29
332,M,197
626,M,176
385,M,149
10,M,177
276,12M,154
599,M,207
637,4M,87
549,M,174
350,M,171
622,12M,154
105,4M,92
10,4M,77
582,B,19
532,4M,130
640,M,202
589,4M,69
624,B,50
504,12M,114
615,4M,76
640,4M,98
276,M,190
179,4M,75
10,B,49
577,4M,80
345,4M,95
10,12M,158
511,4M,107
180,B,49
263,12M,149
180,M,197
42,M,181
281,B,70
184,M,171
341,M,234
590,12M,143
282,4M,72
45,M,171
265,4M,76
521,B,31
504,M,210
268,M,263
281,12M,107
195,M,200
560,B,40
635,4M,82
282,M,247
172,M,204
282,B,59
572,12M,124
577,12M,152
560,12M,121
7,4M,95
622,B,24
137,12M,155
229,B,57
133,B,60
82,M,215
343,4M,72
572,M,204
504,4M,105
105,M,193
385,4M,73
587,B,62
536,M,184
128,4M,101
157,B,37
338,4M,105
567,B,39
615,M,238
7,M,230
263,M,214
133,12M,144
521,12M,103
181,M,225
332,4M,91
585,12M,170
590,M,160
504,B,57
275,M,173
45,4M,60
133,4M,117
599,B,66
343,B,49
45,B,41
640,B,38
397,4M,108
103,M,228
