month,genus,GENDER,value
12M,Acidaminococcus,girl,1
12M,Aggregatibacter,boy,1
12M,Akkermansia,boy,8
12M,Akkermansia,girl,13
12M,Alistipes,boy,4
12M,Alistipes,girl,1
12M,Anaerostipes,boy,23
12M,Anaerostipes,girl,14
12M,Bacteroides,boy,64
12M,Bacteroides,girl,57
12M,Bifidobacterium,boy,29
12M,Bifidobacterium,girl,24
12M,Blautia,boy,19
12M,Blautia,girl,11
12M,Butyricimonas,boy,1
12M,Clostridioides,boy,3
12M,Clostridioides,girl,5
12M,Clostridium,boy,7
12M,Clostridium,girl,10
12M,Collinsella,boy,1
12M,Collinsella,girl,1
12M,Coprococcus,boy,2
12M,Coprococcus,girl,3
12M,Eggerthella,girl,1
12M,Escherichia,boy,12
12M,Escherichia,girl,5
12M,Eubacterium,boy,42
12M,Eubacterium,girl,17
12M,Faecalibacterium,boy,28
12M,Faecalibacterium,girl,21
12M,Flavonifractor,boy,2
12M,Flavonifractor,girl,4
12M,Haemophilus,girl,1
12M,Intestinimonas,boy,1
12M,Lachnoanaerobaculum,girl,1
12M,Lachnoclostridium,boy,4
12M,Lachnoclostridium,girl,2
12M,Lactobacillus,boy,1
12M,Lactobacillus,girl,2
12M,Lactococcus,boy,1
12M,Megamonas,boy,2
12M,Megamonas,girl,2
12M,Odoribacter,boy,2
12M,Odoribacter,girl,3
12M,Oscillibacter,boy,5
12M,Oscillibacter,girl,1
12M,Parabacteroides,boy,18
12M,Parabacteroides,girl,11
12M,Phascolarctobacterium,boy,1
12M,Phascolarctobacterium,girl,1
12M,Prevotella,boy,1
12M,Roseburia,boy,24
12M,Roseburia,girl,17
12M,Ruminiclostridium,girl,2
12M,Ruminococcus,boy,17
12M,Ruminococcus,girl,7
12M,Ruthenibacterium,boy,1
12M,Streptococcus,boy,8
12M,Streptococcus,girl,5
12M,unknown,boy,13
12M,unknown,girl,6
12M,Veillonella,boy,14
12M,Veillonella,girl,18
4M,Actinomyces,girl,2
4M,Akkermansia,boy,2
4M,Akkermansia,girl,5
4M,Alistipes,boy,1
4M,Alistipes,girl,1
4M,Anaerostipes,boy,2
4M,Anaerostipes,girl,1
4M,Arcanobacterium,boy,1
4M,Bacteroides,boy,31
4M,Bacteroides,girl,35
4M,Bifidobacterium,boy,58
4M,Bifidobacterium,girl,39
4M,Blautia,boy,6
4M,Blautia,girl,4
4M,Clostridioides,boy,3
4M,Clostridium,boy,9
4M,Clostridium,girl,1
4M,Collinsella,boy,4
4M,Collinsella,girl,1
4M,Cutibacterium,boy,2
4M,Eggerthella,girl,1
4M,Enterococcus,boy,5
4M,Enterococcus,girl,3
4M,Escherichia,boy,31
4M,Escherichia,girl,21
4M,Eubacterium,boy,8
4M,Flavonifractor,boy,4
4M,Flavonifractor,girl,4
4M,Hafnia,boy,2
4M,Klebsiella,boy,1
4M,Klebsiella,girl,2
4M,Lachnoclostridium,boy,3
4M,Lachnoclostridium,girl,2
4M,Lactobacillus,boy,8
4M,Lactobacillus,girl,6
4M,Lactococcus,boy,1
4M,Megamonas,girl,1
4M,Neisseria,boy,1
4M,Odoribacter,girl,2
4M,Parabacteroides,boy,16
4M,Parabacteroides,girl,7
4M,Peptoniphilus,girl,1
4M,Phascolarctobacterium,girl,1
4M,Roseburia,boy,1
4M,Roseburia,girl,1
4M,Rothia,girl,3
4M,Ruminiclostridium,boy,1
4M,Ruminococcus,boy,2
4M,Ruthenibacterium,girl,2
4M,Streptococcus,boy,7
4M,Streptococcus,girl,8
4M,unknown,boy,1
4M,unknown,girl,2
4M,Veillonella,boy,27
4M,Veillonella,girl,27
B,Aggregatibacter,boy,1
B,Alistipes,girl,1
B,Anaerostipes,boy,1
B,Bacteroides,boy,27
B,Bacteroides,girl,22
B,Bifidobacterium,boy,37
B,Bifidobacterium,girl,22
B,Blautia,girl,1
B,Clostridium,boy,1
B,Clostridium,girl,1
B,Collinsella,boy,1
B,Dialister,girl,2
B,Enterococcus,boy,2
B,Enterococcus,girl,2
B,Escherichia,boy,20
B,Escherichia,girl,20
B,Flavonifractor,boy,1
B,Flavonifractor,girl,1
B,Haemophilus,boy,2
B,Haemophilus,girl,3
B,Klebsiella,boy,1
B,Lachnoclostridium,girl,1
B,Lactobacillus,boy,4
B,Lactococcus,boy,1
B,Megamonas,girl,1
B,Parabacteroides,boy,12
B,Parabacteroides,girl,7
B,Rothia,girl,2
B,Staphylococcus,boy,2
B,Staphylococcus,girl,1
B,Streptococcus,boy,16
B,Streptococcus,girl,4
B,Veillonella,girl,7
